"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"70","N/D","SCS1","Deputy Director, Performance and Management Information","To lead development of data collation and analysis services in support of the Government's Efficiency & Reform agenda, including establishing and operating mechanisms to monitor delivery performance","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/70"
"146","N/D","SCS1","Deputy Director, Private Secretary to the Prime Minister","Private Office","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/146"
"199","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","185","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/199"
"254","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","185","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/254"
"10","Melanie Dawes","SCS3","Director General, Head of Economic and Domestic Affairs Secretariat","Lead the Secretariat in supporting effective Cabinet Government and ensuring the Prime Minister, Deputy Prime Minister, Minister for Government Policy and the Cabinet Secretary have access to high quality advice and briefing; and support the development, co-ordination and implementation of economic and domestic policy objectives","Cabinet Office","Cabinet Office","Economic & Domestic Affairs","020 7276 0083","Ursula.McCullagh@cabinet-office.gsi.gov.uk","317","","1","125000","129999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/10"
"52","Paul Rimmer","SCS2","Director, Chief of the Assessments Staff","To lead the Cabinet Office Assessments Staff and the Joint Intelligence Committee Secretariat to ensure effective support for the Prime Minister, Cabinet, National Security Council and the Government�s crisis management machinery through provision of timely, accurate and objective all-source intelligence assessments and through provision of a tailored service of policy-relevant intelligence to senior readers","Cabinet Office","Cabinet Office","Joint Intelligence Organisation","020 7276 0333","jicchairman@cabinet-office.x.gsi.gov.uk","2","","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/52"
"178","Nigel Rendell","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6623","nigel.rendell@cabinet-office.x.gsi.gov.uk","182","","1","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/178"
"201","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","186","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/201"
"260","Flexible Resourcing and Development Flexible Resourcing and Development","SCS2","Flexible Resourcing and Development","The Cabinet Office Efficiency and Reform Group (ERG) operates a Flexible Resourcing and Development model across its core structure. This model of working allows for a more flexible working environment by allocating staff to time-bound assignments to ensure we are best able to focus our resources to deliver our priorities, whilst still encouraging staff development in identified skills areas.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","309","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/260"
"286","N/D","SCS1","Deputy Director, Devolution Division","To support the PM and DPM on Devolution Issues","Cabinet Office","Cabinet Office","Constitution Group","n/d","webmaster@cabinet-office.gov.uk","59","","0.9","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/286"
"311","N/D","SCS1","Deputy Director Networks","Responsible for Building new models of engagement between GDS, departments and agencies Supporting departments and agencies collectively through the Digital Leaders network to develop departmental digital strategies Establishing the Digital Advisory Board, using external digital talent to provide challenge and advice to all departments","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/311"
"327","N/D","SCS1","Deputy Director, Senior Communications","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/327"
"131","N/D","SCS1","Deputy Director, PPS to Cabinet Secretary and Head of the Civil Service"," Principle Private Secretary to the Cabinet Secretary and Head of the Civil Service, responsible for: - Management of the Cabinet Secretary's Private Office - Supporting the Cabinet Secretary to: - Ensure the Civil Service is equipped with the skills and capability to meet the challenges it faces every day - Ensure the Civil Service provides effective and efficient support to the Prime Minister, Deputy Prime Minister and the Government - Supporting the Minister for the Cabinet Office, to make sure our staff in the Department work as effectively and efficiently as possible","Cabinet Office","Cabinet Office","Private Office Group","0207 276 1134","cabinet.secretary@cabinet-office.x.gsi.gov.uk","317","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/131"
"157","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","186","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/157"
"281","Michael Bracken","SCS2","Director, Executive Director of Digital","Tasked with the challenge of improving the quality of digital public services provision for every citizen in the UK","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","mike.bracken@digital.cabinet-office.gov.uk","309","","1","155000","159999","","Other","","","http://reference.data.gov.uk/id/department/co/post/281"
"316","N/D","SCS1","Deputy Director, Public Services and Legislation","Lead the Public Services and Legislation team in supporting effective Cabinet Government and ensuring the Prime Minister, Deputy Prime Minister, Minister for Government Policy and Cabinet Committee Chairs have access to high quality advice and briefing","Cabinet Office","Cabinet Office","Economic & Domestic Affairs","020 7276 0055","webmaster@cabinet-office.gov.uk","54","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/316"
"181","C Johnston","SCS3","Parliamentary Counsel","Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6612","catherine.johnston@cabinet-office.x.gsi.gov.uk","186","","1","190000","194999","","Law","","","http://reference.data.gov.uk/id/department/co/post/181"
"318","N/D","SCS1","Deputy Principal Private Secretary to the Deputy Prime Minister","Deputy Principal Private Secretary to the Deputy Prime Minister","Cabinet Office","Cabinet Office","Deputy Prime Minister's Office","020 7276 3000","dpm@cabinetoffice.gov.uk","25","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/318"
"324","Simon Morys","SCS2","Operations Director","Oerations Director","Cabinet Office","Cabinet Office","Government Property Unit","07733 485932","simon.morys@cabinet-office.gsi.gov.uk","24","","1","100000","104999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/324"
"5","Mark Ivan Rogers","SCS4","Permanent Secretary, European & Global Issues Secretariat","EGIS is responsible for coordinating the work of Government in reaching collective agreement on International Economic (including G20/G8, international trade and development issues) and European policy and to provide advice on these matters to the Prime Minister, Deputy Prime Minister, and the Cabinet Office Minister for Government Policy","Cabinet Office","Cabinet Office","European & Global Issues","0207 2761261","webmaster@cabinet-office.gov.uk","317","","1","140000","144999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/5"
"29","David Pitchford","SCS2","Executive Director, Major Projects Authority","Leading the work of ERG on Major Projects. Responsibility for the Strategic Direction of Major Project control and the introduction of business systems to implement the key imperatives. Responsibility for the introduction of the Central Strategic Authority for control of Major Projects. Responsibility for implementation of Mandated Integrated Assurance Regime. Responsibility for introduction of new Transparency Report Regime. Responsibility for development and expansion of Major Projects Management capability.","Cabinet Office","Cabinet Office","Core ERG","0845 000 4999","david.pitchford@cabinet-office.gsi.gov.uk","309","","1","160000","164999","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/co/post/29"
"230","N/D","SCS1","Deputy Director, Transparency Delivery","Leads the cross government delivery of transparency commitments and data.gov.uk","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/230"
"101","N/D","SCS1","Deputy Director, ICT Strategy Delivery and Implementation","Lead for ICT Strategy Implementation","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/101"
"154","N/D","SCS1","Deputy Director, Head of News & Deputy Spokeswoman","Prime Minister's Office","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","56","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/154"
"239","N/D","SCS1","Deputy Director, Transparency Strategy","Leads development of Transparency Strategy","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/239"
"313","N/D","SCS1","Deputy Director ID Assurance","Responsible for Developing a GDS team capable of defining and delivering the user-centric, pan-Government Identity Assurance capability Assuring the commercial approach, solution design and delivery of Identity Assurance services across all government departments and agencies Developing the UK legislative and industry environment required to fully enable Identity Assurance benefits to citizens","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/313"
"COI1","Vacant","SCS3","CEO","CEO for COI","Cabinet Office","Cabinet Office","Central Office of Information","N/A","N/D","317","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI1"
"22","Liam Maxwell","SCS2","Executive Director, Government ICT and Deputy Government CIO","The role includes acting as Deputy Government Chief Information Officer with overall responsibility for the formulation, development and communication of cross-Government ICT strategies and policies. This involves providing advice to Ministers on pan-government ICT issues and policy issues relating to the government�s use of ICT in areas such as Identity Assurance and Digital Delivery and leading implementation on elements of the Government�s drive to improve value for money of ICT infrastructure. Duties include chairing the ICT Category Board, co-chairing the ICT Strategy Implementation Steering Group, and leading delivery of pan-government ICT standards and architecture through the CTO Council. A key area is working with stakeholders and managing the interface between OGCIO and Industry through Intellect. The role also includes line management responsibilities for the IT Profession team and the strategy team responsible for Open Source, Open Standards and Re-use, Green ICT and lead senior official in OGCIO relationships with OECD and the EU.","Cabinet Office","Cabinet Office","Core ERG","07557 866 332","liam.maxwell@digital.cabinet-office.gsi.gov.uk","309","","1","105000","109999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/22"
"133","N/D","SCS1","Deputy Director, Public Bodies Reform","- Supporting the Cabinet Secretary to:","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/133"
"160","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","173","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/160"
"169","David Sewell","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2584","david.sewell@cabinet-office.x.gsi.gov.uk","185","","1","90000","94999","","Law","","","http://reference.data.gov.uk/id/department/co/post/169"
"186","E Gardiner","SCS3","Parliamentary Counsel / Team Leader","Team Leaders lead drafting teams whichdraft Bills for Government and form, with the First Parliamentary Counsel, part of the management team of the office.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0952","elizabeth.gardiner@cabinet-office.x.gsi.gov.uk","8","","1","170000","174999","","Law","","","http://reference.data.gov.uk/id/department/co/post/186"
"298","Vacant","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","N/A","webmaster@cabinet-office.gov.uk","238","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/298"
"47","Kristina Murrin","SCS2","Director, Personnel and Performance","Personnel and Performance","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","110000","114999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/47"
"116","N/D","SCS1","Deputy Director, Analysis & Insight","Responsible for delivering data, analysis and insight to the Cabinet Secretary, Ministers and senior leaders to support the Efficiency and Reform agenda and for leading the employee engagement programme across the Civil Service, including implementing a Civil Service-wide People Survey. UK representative on the OECD Public Governance Committee.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/116"
"165","Andrew Scott","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0982","andrew.scott@cabinet-office.x.gsi.gov.uk","186","","1","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/165"
"224","N/D","SCS1","Deputy Director of Resourcing and Development","Deputy Director of Resourcing and Development","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/224"
"277","N/D","SCS1","Deputy Director, Civil Service Strategy and Reform","Team leader for civil service reform","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/277"
"82","N/D","SCS1","Deputy Director, Civil Service Talent","Leads on talent management for the SCS","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/82"
"148","N/D","SCS1","Deputy Director, Major Projects Authority","Deputy Director and cluster lead for Defence & International","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/co/post/148"
"256","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","187","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/256"
"307","N/D","SCS1","Deputy Director, Government Communications Change Programme","Deputy Director, Government Communications Change Programme","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/307"
"57","Sue Gray","SCS2","Director, Propriety and Ethics and HMU for the Private Office Group","Head of Management Unit for Private Office Group and Director of Propriety and Ethics Team with overall management responsibility for 80 members of staff and the Private Office Group budget. Areas of responsibility include: -Policy and advice on standards and ethics issues under the Ministerial, Civil Service, Special Adviser and Public Bodies codes of conduct; -Policy on public appointments and public bodies. Senior Responsible Officer for implementation of public bodies reform and efficiency savings; -Budget and management of CO Ministers' private offices; -Liaison arrangements with the Public Administration Select Committee, Committee on Standards in Public Life, four Cabinet Office Advisory Bodies, the Parliamentary Ombudsman and Independent Adviser on Ministers' Interests.","Cabinet Office","Cabinet Office","Private Office Group","0207 276 2470","sue.gray@cabinet-office.gsi.gov.uk","317","","1","85000","89999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/57"
"143","N/D","SCS1","Deputy Director, Social Action","Leads on promotion / development of social action and participation, including volunteering, charitable giving, community action and the development of neighbourhood groups. Includes development of several Big Society programmes including: The National Citizens Service, Community Organisers, Community First, and the Civic Service, In addition, lead on charitable giving and philanthropy policy, and other volunteering programmes for young people and adults.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/143"
"23","Zina Etheridge","SCS2","Executive Director, Civil Service Reform","Responsible for Capability Reviews of government departments, the Permanent Secretary appraisal process and measuring efficiency and performance; oversight of economic analysis and insight team; Programme director for the Next Generation HR Programme. Manager of group finances and business planning, and member of the Cabinet Office Finance and Investment Committee.","Cabinet Office","Cabinet Office","Core ERG","020 7271 1373","zina.etheridge@cabinet-office.gsi.gov.uk","309","","1","110000","114999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/23"
"175","Jessica De Mounteney","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6625","jessica.demounteney@cabinet-office.x.gsi.gov.uk","182","","0.8","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/175"
"191","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","187","","0.7","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/191"
"228","N/D","SCS1","Deputy Director, Corporate Services Improvement Programme","Lead the Cabinet Office Corporate Service Improvement Programme to ensure that changes to Estates and ICT are harmonised across the portfolio of projects, brought together as necessary with other change programmes across the department, that benefits are realised, and appropriate stakeholder, communications and engagement arrangements are in place.","Cabinet Office","Cabinet Office","Cabinet Office Services","020 7276 3090","webmaster@cabinet-office.gov.uk","24","","1","0","0","","Planning","","","http://reference.data.gov.uk/id/department/co/post/228"
"170","Francis Coleman","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2585","francis.coleman@cabinet-office.x.gsi.gov.uk","182","","1","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/170"
"282","N/D","SCS1","Deputy Director, Director GDS Transformation Programme","Responsible for setting up GDS as a Digital Delivery Team Agreeing the scope and type of projects GDS will deliver with departments Ongoing delivery and management of the GDS programme","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/282"
"76","N/D","SCS1","Deputy Director, Growth, Business, Regulation, Banking, Trade, BIS, HMT and DCMS","Lead the Business, Banking and Regulatory Reform team in supporting effective Cabinet Government and ensuring the Prime Minister, Deputy Prime Minister, Minister for Government Policy and Cabinet Committee Chairs have access to high quality advice and briefing","Cabinet Office","Cabinet Office","Economic & Domestic Affairs","020 7276 0055","webmaster@cabinet-office.gov.uk","54","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/76"
"174","James Stephens","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0970","james.stephens@cabinet-office.x.gsi.gov.uk","185","","1","120000","124999","","Law","","","http://reference.data.gov.uk/id/department/co/post/174"
"33","Helen Dudley","SCS2","Executive Director, Civil Service Talent","Responsible for the talent management of the Top 200 civil servants, including appointments to this group. Supports the HoCS with performance management of permanent secretaries. Responsible for the Fast Stream.","Cabinet Office","Cabinet Office","Core ERG","020 7276 1171","helen.dudley@cabinet-office.x.gsi.gov.uk","309","","1","110000","114999","","Human Resources","","","http://reference.data.gov.uk/id/department/co/post/33"
"65","Vacant","SCS1","Deputy Director, Strategy, Environment and Engagement","Deputy Director, Sector Support and Reform","Cabinet Office","Cabinet Office","Core ERG","N/A","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/65"
"293","John McCready","SCS2","Head of Government Property Unit","Head of Government Property Unit","Cabinet Office","Cabinet Office","Government Property Unit","07860 933357","john.mccready@cabinet-office.gsi.gov.uk","309","","1","150000","154999","","Property and asset management","","","http://reference.data.gov.uk/id/department/co/post/293"
"328","N/D","SCS1","Deputy Director, Shared Communication Service","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/328"
"287","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","238","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/287"
"153","N/D","SCS1","Deputy Director and Parliamentary Advisor","Provide Parliamentary advice to the Cabinet Office, Leader of the House of Commons and other government departments","Cabinet Office","Cabinet Office","Economic & Domestic Affairs","020 7276 0055","webmaster@cabinet-office.gov.uk","54","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/153"
"NSG6","N/D","SCS1","Head of International Development and Consultancy","Responsible for the impact and quality of the National School of Governments work in support of HMGs international development and foreign policy objectives, including strategy, leadership, key external relationships, business development, financial and operational management.","Cabinet Office","Cabinet Office","National School of Government","01344 634572","chris.cole@nationalschool.gsi.gov.uk","NSG1","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/NSG6"
"100","N/D","SCS1","Deputy Director, Chief Executive of Office of the Parliamentary Counsel","Manages the support staff and other (non-legal) aspects of the administration of the Office of Parliamentary Counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","8","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/100"
"50","James Quinault","SCS2","Director, Office of Cyber Security and Information Assurance","The Office of Cyber Security & Information Assurance (OCSIA) supports the Minister for the Cabinet Office, the Rt Hon Francis Maude MP, and the National Security Council in determining priorities in relation to securing cyberspace. The unit provides strategic direction and coordinates action relating to cyber security and information assurance in the UK.","Cabinet Office","Cabinet Office","National Security Secretariat","0207 276 1234","NSAaction@cabinet-office.x.gsi.gov.uk","13","","1","80000","84999","","Other","","","http://reference.data.gov.uk/id/department/co/post/50"
"132","N/D","SCS1","Deputy Director, Construction","- Management of the Cabinet Secretary's Private Office","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Procurement","","","http://reference.data.gov.uk/id/department/co/post/132"
"158","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","183","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/158"
"234","N/D","SCS1","Deputy Director, Major Projects Authority","Deputy Director and cluster lead for Enterprise & Growth","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/co/post/234"
"240","N/D","SCS1","Chief Operating Officer & Deputy Director of Operations","Responsible for the effective business and operational management of GDS Financial management, business planning and performance Operations, IT, HR, personal security and business continuity Procurement Parliamentary liaison, PQs, FOIs, Government web domain management","Cabinet Office","Cabinet Office","Government Digital Service","N/D","Webmaster@cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/240"
"266","N/D","SCS1","Deputy Director, Social Investment and Finance","Leads on Social Investment and Finance to ensure government does all it can to grow the social investment market","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/266"
"105","Vacant","SCS1","Deputy Director, Communications for Counter Terrorism","Deputy Director, Communications for Counter Terrorism","Cabinet Office","Cabinet Office","Cabinet Office Communications","n/a","N/D","38","","1","0","0","","","","","http://reference.data.gov.uk/id/department/co/post/105"
"164","Alison Bertlin","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6626","alison.bertlin@cabinet-office.x.gsi.gov.uk","182","","0.6","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/164"
"323","N/D","SCS1","Deputy Director, loan to DIO","Strategic Asset Management and Programming Team in DIO","Cabinet Office","Cabinet Office","Government Property Unit","020 7270 5111","webmaster@cabinet-office.gov.uk","293","","1","0","0","","Property and asset management","","","http://reference.data.gov.uk/id/department/co/post/323"
"302","N/D","SCS1","Deputy Director,Minister for the Cabinet Office/Efficiency and Reform Group Communications","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/302"
"196","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","173","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/196"
"NSG4","Eliminated","SCS1","Director of Corporate Services","To provide corporate support to the National School of Government in respect of HR, Finance, ICT & Facilities, Governance & Performance and Library Services.","Cabinet Office","Cabinet Office","National School of Government","N/A","N/D","NSG1","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/NSG4"
"NSG3","Eliminated","SCS2","Director of Strategic Client Relations","To enhance and secure the strategic position of the National School in relation to key stakeholders and to develop the Core Learning Programme and wider NSG offer. Contribute to the overall leadership, strategic direction and positioning of the National School.","Cabinet Office","Cabinet Office","National School of Government","N/A","N/D","NSG1","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/NSG3"
